epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,20.582,2.81498,4.58531,2.43673,0.02681,0.01256,0.01383,0.00453,2.80074,5.17043,2.50922,0.00122396,0.000407986,0.00122396,0.000407986,0.00122396,0.000407986,0.00122396,0.000407986
2,38.9724,2.35073,4.23341,2.08972,0.11542,0.05924,0.03009,0.00994,2.37946,4.76079,2.21813,0.00244947,0.000816489,0.00244947,0.000816489,0.00244947,0.000816489,0.00244947,0.000816489
3,57.3477,2.24726,3.9381,1.98254,0.10549,0.12825,0.05866,0.02015,2.36283,4.43016,2.19023,0.00365022,0.00121674,0.00365022,0.00121674,0.00365022,0.00121674,0.00365022,0.00121674
4,75.426,2.11789,3.5512,1.91993,0.13599,0.16172,0.09224,0.03702,2.22499,4.04867,2.10594,0.00363862,0.00121287,0.00363862,0.00121287,0.00363862,0.00121287,0.00363862,0.00121287
5,93.9503,2.07715,3.39168,1.85694,0.25077,0.23493,0.14974,0.05519,2.27734,3.75829,2.10831,0.0036015,0.0012005,0.0036015,0.0012005,0.0036015,0.0012005,0.0036015,0.0012005
6,112.359,2.0092,3.20847,1.79792,0.19826,0.24493,0.15574,0.06205,2.19244,3.5442,1.9888,0.00356437,0.00118812,0.00356437,0.00118812,0.00356437,0.00118812,0.00356437,0.00118812
7,129.646,1.98461,3.07065,1.78478,0.24427,0.22542,0.1726,0.08403,2.06849,3.44107,1.9103,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575
8,147.048,1.95579,3.03562,1.76519,0.29049,0.25887,0.20365,0.10808,2.06839,3.22489,1.92959,0.00349012,0.00116337,0.00349012,0.00116337,0.00349012,0.00116337,0.00349012,0.00116337
9,164.76,1.89284,2.91095,1.73622,0.44018,0.22655,0.25965,0.12862,2.0628,3.08823,1.89622,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151
10,182.354,1.89793,2.83589,1.70192,0.40506,0.3069,0.27259,0.13611,2.11606,2.97498,1.91892,0.00341588,0.00113863,0.00341588,0.00113863,0.00341588,0.00113863,0.00341588,0.00113863
11,199.945,1.83121,2.75158,1.67612,0.36643,0.3005,0.27028,0.13608,2.01593,2.94891,1.87878,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625
12,217.631,1.83147,2.64567,1.66268,0.33013,0.30332,0.24795,0.12692,2.03868,2.97735,1.91232,0.00334162,0.00111388,0.00334162,0.00111388,0.00334162,0.00111388,0.00334162,0.00111388
13,235.425,1.86347,2.62324,1.6668,0.3886,0.34874,0.30031,0.15271,2.08772,2.77224,1.90442,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015
